13	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9
9	9	8	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	9	9
26	22	22	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	22	22	22	22
23	23	22	21	21	21	21	21	21	21	21	21	21	21	20	21	21	21	21	21	23	23
13	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9
9	9	8	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	9	9
26	22	22	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	22	22	22	22
9	9	8	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	9	9
13	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9
9	9	8	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	9	9
