   40.00	   60.00	   20.00	   10.00	    0.48	   50.00	    0.08	    3.00	    8.00	    3.00	   12.00	  158.40	   15.84	   16.63	
  120.00	  120.00	  270.00	    7.00	   27.22	 3941.00	    4.20	   19.00	    5.00	    9.00	   14.00	 8981.28	  853.22	  673.60	
   40.00	   60.00	   50.00	  173.00	   20.76	 1038.00	    3.46	   15.00	    6.00	    2.00	   14.00	 6850.80	  616.57	  274.03	
   40.00	   60.00	   40.00	  149.00	   14.30	 1192.00	    2.48	   13.00	    7.00	    1.00	    8.00	 4720.32	  377.63	  377.63	
   40.00	   60.00	   20.00	  221.00	   10.61	 1326.00	    1.70	   19.00	    5.00	    8.00	   13.00	 3500.64	  332.56	  262.55	
   80.00	  120.00	  120.00	   11.00	   12.67	 3597.00	    2.20	   16.00	    6.00	    7.00	   14.00	 4181.76	  418.18	  292.72	
  120.00	  120.00	  270.00	    6.00	   23.33	 2784.00	    3.60	   16.00	    6.00	    8.00	   14.00	 7698.24	  769.82	  538.88	
   80.00	  120.00	  120.00	    2.00	    2.30	  520.00	    0.40	    3.00	    8.00	    2.00	   10.00	  760.32	   76.03	   79.83	
   40.00	   60.00	   30.00	  158.00	   11.38	  790.00	    1.76	    4.00	    7.00	    4.00	   13.00	 3754.08	  225.24	   37.54	
   40.00	   60.00	   30.00	   51.00	    3.67	  255.00	    0.57	   19.00	    5.00	    2.00	   11.00	 1211.76	  115.12	   90.88	
  120.00	  120.00	  270.00	    3.00	   11.66	 2913.00	    1.80	   11.00	    7.00	    5.00	   13.00	 3849.12	  307.93	  307.93	
   40.00	   60.00	   20.00	  352.00	   16.90	 2112.00	    2.71	    3.00	    8.00	    2.00	   11.00	 5575.68	  557.57	  585.45	
   80.00	  120.00	  270.00	   10.00	   25.92	 9910.00	    4.00	   13.00	    7.00	    4.00	   13.00	 9910.00	  792.80	  792.80	
   40.00	   60.00	   20.00	  445.00	   21.36	 3115.00	    3.42	   21.00	    8.00	    4.00	   12.00	 7048.80	 1409.76	 1550.74	
   40.00	   60.00	   20.00	  200.00	    9.60	 1200.00	    1.54	    3.00	    8.00	    5.00	   13.00	 3168.00	  316.80	  332.64	
   40.00	   60.00	   40.00	  522.00	   50.11	 2610.00	    8.70	   20.00	    5.00	    8.00	   14.00	16536.96	 1637.16	 1273.35	
  120.00	  120.00	  270.00	   11.00	   42.77	 3157.00	    6.60	    5.00	    7.00	    6.00	   13.00	14113.44	  846.81	 1270.21	
   80.00	  120.00	  270.00	   14.00	   36.29	 8918.00	    5.60	   20.00	    5.00	    3.00	    9.00	11975.04	 1185.53	  922.08	
   80.00	  120.00	  270.00	   14.00	   36.29	10640.00	    5.60	   20.00	    5.00	    8.00	   14.00	11975.04	 1185.53	  922.08	
   40.00	   60.00	   30.00	   72.00	    5.18	  504.00	    0.80	   15.00	    6.00	    4.00	   11.00	 1710.72	  153.96	   68.43	
   40.00	   60.00	   40.00	  438.00	   42.05	 2190.00	    7.30	   11.00	    7.00	    4.00	   14.00	13875.84	 1110.07	 1110.07	
   40.00	   60.00	   30.00	   68.00	    4.90	  408.00	    0.76	   20.00	    5.00	    7.00	   13.00	 1615.68	  159.95	  124.41	
   40.00	   60.00	   20.00	  530.00	   25.44	 2650.00	    4.08	    8.00	    7.00	    5.00	   14.00	 8395.20	  671.62	  671.62	
   40.00	   60.00	   40.00	  237.00	   22.75	 1896.00	    3.95	   16.00	    6.00	    4.00	   11.00	 7508.16	  750.82	  525.57	
  120.00	  120.00	  270.00	    2.00	    7.78	 1064.00	    1.20	   20.00	    5.00	    6.00	   13.00	 2566.08	  254.04	  197.59	
   80.00	  120.00	  120.00	   13.00	   14.98	 4368.00	    2.60	   11.00	    7.00	    2.00	    9.00	 4942.08	  395.37	  395.37	
   40.00	   60.00	   40.00	  532.00	   51.07	 4256.00	    8.87	   13.00	    7.00	    1.00	   12.00	16853.76	 1348.30	 1348.30	
   80.00	  120.00	  120.00	    7.00	    8.06	 4312.00	    1.40	   20.00	    5.00	    8.00	   14.00	 4312.00	  426.89	  332.02	
  100.00	  120.00	  120.00	   12.00	   17.28	 9708.00	    3.00	    3.00	    8.00	    4.00	   13.00	 9708.00	  970.80	 1019.34	
   40.00	   60.00	   30.00	  647.00	   46.58	 5176.00	    7.19	   21.00	    8.00	    5.00	   14.00	15372.72	 3074.54	 3382.00	


I:30 T:14 J:14 A:10 B:70 D:11 ins:5

